roll_id,batch,kind,gsm,width,length,diameter,bin_location,goods_receive_date,weight
01D100265795,OLD,ME,112,250,5386,108.85,A09,02/12/2021,1508
01D100300822,OLD,ME,125,250,4058,99.84,A09,26/11/2021,1268
01D100300995,OLD,ME,150,250,2459,85.2,A09,13/11/2021,922
19300085381,LOCAL,LE,125,235,5972,110.45,Z24,27/02/2024,1754.3
19300085398,LOCAL,LE,125,180,7300,114.68,H23,20/09/2025,1642.5
19300103094,LOCAL,ME,140,180,6058,142.81,J05,29/02/2024,1526.63
19300103119,LOCAL,ME,140,215,3512,92.3,Z33,14/07/2016,1057.198
19300113004,LOCAL,ME,120,175,6553,135.6,J05,28/02/2024,1376.162
19300116902,LOCAL,LE,125,225,4415,98.85,Z29,10/06/2020,1241.767
19300116904,LOCAL,LE,125,225,4583,134.68,Z26,06/12/2020,1289
19300116906,LOCAL,LE,125,225,4838,104.53,Z29,18/02/2021,1360.789
19300122470,OLD,ME,140,215,3362,89.24,A02,05/02/2022,1012
19300125876,OLD,ME,120,235,4553,100.47,A06,20/05/2020,1284
19300130543,LOCAL,ME,120,215,5025,97.24,Z32,16/01/2017,1296.55
19300130554,LOCAL,ME,120,230,5015,92.57,R13,16/01/2017,1384.1
19300130847,LOCAL,ME,125,235,4456,102.54,Z28,21/05/2022,1308.95
19300140545,LOCAL,LE,125,230,4261,99.24,Z28,14/08/2020,1225.1
19300144169,LOCAL,ME,125,225,4321,182.35,Z25,11/02/2021,1215.25
19300144652,LOCAL,ME,125,205,6879,135.9,X13,28/02/2024,1762.85
19300146553,LOCAL,LE,125,225,5238,105.79,Z24,10/10/2024,1473.25
19300146565,LOCAL,LE,125,225,4950,109.87,Z29,10/10/2024,1392.25
19300189720,LOCAL,ME,140,200,3411,87.76,Z30,11/02/2021,955.08
19300192345,LOCAL,ME,140,230,3850,184.17,Z23,05/04/2018,1239.7
19300192573,LOCAL,ME,140,235,4260,109.94,Z-LK1,10/04/2018,1401.54
19300210756,OLD,ME,112,230,4169,91.92,A05,27/02/2019,1074
19300211623,OLD,ME,140,205,4672,106.68,A01,11/12/2021,1341
19300226252,OLD,ME,140,240,2926,87.96,A07,10/12/2021,983
19300242112,OLD,ME,120,190,4430,89.15,B03,08/04/2023,1010.04
19300246242,OLD,ME,125,215,3535,86.47,A02,07/02/2022,950
19300248497,OLD,ME,150,215,2571,80.81,A02,11/01/2022,829
19300256338,OLD,ME,150,225,3368,94.55,A04,06/03/2020,1136.545
402156213,LOCAL,MS,110,205,8000,105.52,Z34,28/02/2020,1804
5119857,LOCAL,MA,120,230,9261,139.28,Z31,29/02/2024,2556
5134130,LOCAL,MA,112,210,8299,125,Z28,09/07/2019,1952
5145091,LOCAL,MA,140,240,6199,125,Z32,19/02/2021,2083
72669724,LOCAL,W2,200,230,3200,104.45,P12,03/01/2017,1472
72670381,LOCAL,W2,160,200,4794,103.73,Z39,05/01/2017,1534
72671468,LOCAL,W2,160,165,6716,116.15,Z40,27/02/2024,1773
72671469,LOCAL,W2,160,165,6742,129.55,Z40,27/02/2024,1780
72693102,LOCAL,W2,200,215,3193,100,P11,29/05/2019,1373
72693107,LOCAL,W2,200,215,3258,100,P11,29/05/2019,1401
72730345,LOCAL,W2,200,225,3167,100,P12,24/02/2017,1425
72730398,LOCAL,W2,200,225,3189,100,Z37,24/02/2017,1435
72730530,LOCAL,W2,200,225,3207,100,P12,24/02/2017,1443
72730604,LOCAL,W2,200,215,3070,100,P11,23/02/2017,1320
72753551,LOCAL,W2,160,245,5005,110,P11,03/12/2020,1962
72760034,LOCAL,W2,200,225,3102,100,P12,26/04/2017,1396
72760099,LOCAL,W2,200,225,3233,100,X11,26/04/2017,1455
72760716,LOCAL,W2,200,220,3102,100,P12,26/04/2017,1365
72760778,LOCAL,W2,200,220,3064,100,P12,03/12/2020,1348
72821587,LOCAL,W2,160,215,5020,110,Z39,27/11/2020,1727
72857360,LOCAL,W2,160,225,3881,100,Z38,19/02/2021,1397
72893447,LOCAL,W2,160,250,3960,100,Z39,25/02/2021,1584
72893766,LOCAL,W2,160,210,4083,100,Z38,02/08/2019,1372
72900201,LOCAL,W2,160,225,4019,100,Z38,19/02/2021,1447
72927445,LOCAL,W2,160,245,4143,114.1,Z39,21/05/2022,1624
72943004,LOCAL,W2,160,205,5573,117.92,Z38,27/02/2024,1828
73065994,LOCAL,W2,160,230,3984,101.06,Z37,03/03/2021,1466
73122080,LOCAL,W2,160,230,4098,104.79,Z38,19/02/2021,1508
73249955,LOCAL,W2,160,210,4164,99.11,Z39,03/03/2021,1399
73250146,LOCAL,W2,160,220,4151,101.26,Z38,25/02/2021,1461
73293456,LOCAL,W2,160,220,4088,99.73,Z38,03/12/2020,1439
73420369,LOCAL,W2,160,245,4084,107.94,Z38,15/12/2018,1601
73420409,LOCAL,W2,160,230,3986,103.37,Z40,25/02/2021,1467
73420464,OLD,W2,160,245,3523,121.62,Z37,11/08/2023,1381
73420487,LOCAL,W2,160,245,4181,107.19,Z38,25/03/2019,1639
73430771,LOCAL,W2,160,210,4149,100.79,Z38,02/08/2019,1394
73459104,LOCAL,W2,160,230,3864,101.79,Z38,03/12/2020,1422
73482673,LOCAL,W2,160,250,3935,98.64,P11,21/02/2019,1574
73499885,LOCAL,W2,160,195,4340,104,Z40,04/03/2019,1354
73499909,LOCAL,W2,160,195,4304,96.78,Z37,04/03/2019,1343
73540475,LOCAL,W2,160,250,4040,106.44,Z38,04/05/2019,1616
73540574,LOCAL,W2,160,250,3983,112.27,P11,04/05/2019,1593
73540593,LOCAL,W2,160,250,3985,112.3,P11,04/05/2019,1594
73540610,LOCAL,W2,160,250,4108,114.01,P11,04/05/2019,1643
73540762,LOCAL,W2,160,195,3987,99.83,Z40,16/04/2019,1244
